File,Line,Code
"packages/fixzit-souq-server/db.js",11,"const uri = process.env.MONGODB_URI || process.env.MONGO_URL || 'mongodb://localhost:27017/fixzit';"
"qa/config.js",2,"baseURL: process.env.NEXT_PUBLIC_APP_BASE_URL || 'http://localhost:3000',"
"qa/playwright.config.ts",10,"baseURL: process.env.NEXT_PUBLIC_APP_BASE_URL || 'http://localhost:3000',"
"lib/mongo.ts",44,"const uri = process.env.MONGODB_URI || 'mongodb://localhost:27017';"
"lib/marketplace/security.ts",43,"'http://localhost:3000',"
"lib/marketplace/security.ts",44,"'http://localhost:3001',"
"lib/marketplace/security.ts",45,"'https://localhost:3000',"
"lib/marketplace/security.ts",46,"'https://localhost:3001'"
"lib/marketplace/serverFetch.ts",46,"return headerUrl ?? 'http://localhost:3000';"
"tests/models/SearchSynonym.test.ts",59,"{ NODE_ENV: ""development"", MONGODB_URI: ""mongodb://localhost:27017/db"" },"
"tests/unit/models/HelpArticle.test.ts",92,"MONGODB_URI: ""mongodb://localhost:27017/test"","
"tests/unit/models/HelpArticle.test.ts",107,"MONGODB_URI: ""mongodb://localhost:27017/test"","
"tests/unit/api/qa/health.route.test.ts",16,"url: 'http://localhost:3000/api/qa/health'"
"tests/setup.ts",58,"process.env.NEXT_PUBLIC_APP_URL = 'http://localhost:3000';"
"tests/setup.ts",59,"process.env.MONGODB_URI = process.env.MONGODB_URI || 'mongodb://localhost:27017/fixzit_test';"
"tests/setup.ts",63,"process.env.NEXTAUTH_URL = process.env.NEXTAUTH_URL || 'http://localhost:3000';"
"tests/pages/marketplace.page.test.ts",185,"'http://localhost:3000/api/marketplace/search?q=cement'"
"tests/pages/product.slug.page.test.ts",37,"const res = await fetch(`${process.env.NEXT_PUBLIC_FRONTEND_URL || 'http://localhost:3000'}/api/marketplace/products/${slug}`, { cache: 'no-store' });"
"tests/pages/product.slug.page.test.ts",189,"'http://localhost:3000/api/marketplace/products/gadget',"
"tests/config/package-json.spec.ts",38,"'verify:all': `npm run verify:prep && npm run build && concurrently -k -s first ""npm run start"" ""wait-on http://localhost:3000 && npm run verify:route"
"tests/config/package-json.spec.ts",82,"expect(s).toContain('wait-on http://localhost:3000')"
"playwright.config.ts",28,"baseURL: 'http://localhost:3000',"
"playwright.config.ts",78,"url: 'http://localhost:3000',"
"public/ui-bootstrap.js",94,"const response = await fetch(`${window.API_URL || 'http://localhost:5000'}/api/auth/login`, {"
"tools/wo-smoke.ts",2,"const BASE = ""http://localhost:3000"";"
"test-e2e-comprehensive.js",11,"const BASE_URL = process.env.BASE_URL || 'http://localhost:3000';"
"test-auth.js",11,"const BASE_URL = 'http://localhost:3000';"
"server/security/headers.ts",45,"...(process.env.NODE_ENV === 'development' ? ['http://localhost:3000', 'http://localhost:3001'] : [])"
"server/security/headers.ts",45,"...(process.env.NODE_ENV === 'development' ? ['http://localhost:3000', 'http://localhost:3001'] : [])"
"server/security/headers.ts",54,"response.headers.set('Access-Control-Allow-Origin', 'http://localhost:3000');"
"app/api/support/incidents/route.ts",87,"const redis = new Redis(process.env.REDIS_URL || 'redis://localhost:6379');"
"app/api/work-orders/[id]/attachments/presign/route.ts",27,"const putUrl = `http://localhost:3000/api/dev-null-upload?name=${fileName}`; // replace with real presign"
"app/product/[slug]/__tests__/page.spec.tsx",66,"'http://localhost:3000/api/marketplace/products/missing',"
"app/product/[slug]/__tests__/page.spec.tsx",108,"'http://localhost:3000/api/marketplace/products/acme-widget',"
"next.config.js",112,"destination: 'http://localhost:5000/api/marketplace/:path*',"
"next.config.js",116,"destination: 'http://localhost:5000/api/properties/:path*',"
"next.config.js",120,"destination: 'http://localhost:5000/api/workorders/:path*',"
"next.config.js",124,"destination: 'http://localhost:5000/api/finance/:path*',"
"next.config.js",128,"destination: 'http://localhost:5000/api/hr/:path*',"
"next.config.js",132,"destination: 'http://localhost:5000/api/crm/:path*',"
"next.config.js",136,"destination: 'http://localhost:5000/api/compliance/:path*',"
"next.config.js",140,"destination: 'http://localhost:5000/api/analytics/:path*',"
