File,Line,Code
"scripts/scan-hex.js",206,"console.error(`   Off-palette colors: ${violations.length}`);"
"scripts/scan-hex.js",207,"console.error(`   Total violations: ${banned.length + violations.length}\n`);"
"scripts/scan-hex.js",209,"console.error('💡 Fix Options:');"
"scripts/scan-hex.js",210,"console.error('   1. Replace with approved brand colors from WHITELIST');"
"scripts/scan-hex.js",211,"console.error('   2. Use Tailwind theme tokens instead of hex');"
"scripts/scan-hex.js",212,"console.error('   3. Add to whitelist if color is justified (requires approval)\n');"
"scripts/scan-hex.js",214,"console.error('📚 See STRICT_GOVERNANCE.md for approved colors\n');"
"scripts/replace-string-in-file.ts",192,"console.error(msg);"
"scripts/replace-string-in-file.ts",258,"console.error(msg);"
"scripts/seedData.js",293,"console.error('❌ Seeding failed:', error);"
"scripts/setup-indexes.ts",14,"console.error('❌ Index creation failed:', error);"
"scripts/seed-realdb.ts",126,"console.error('❌ Real DB seed failed:', err);"
"scripts/test-mongo-connection.ts",78,"console.error('❌ Connection test failed:', error);"
"scripts/complete-system-audit.js",618,"scanner.runCompleteAudit().catch(console.error);"
"scripts/setup-production-db.ts",24,"console.error('❌ Missing required environment variables:');"
"scripts/setup-production-db.ts",25,"missing.forEach(env => console.error(`   - ${env}`));"
"scripts/setup-production-db.ts",32,"console.error('❌ Invalid MONGODB_URI format. Must start with mongodb:// or mongodb+srv://');"
"scripts/setup-production-db.ts",42,"console.error('❌ MongoDB connection failed:', error);"
"scripts/setup-production-db.ts",89,"console.error(`❌ Failed to create index on ${collection}:`, err.message || String(error));"
"scripts/setup-production-db.ts",153,"console.error('💥 Production setup failed:', error);"
"scripts/seed-marketplace.js",300,"console.error('Error seeding database:', error);"
"scripts/seed-aqar-properties.ts",60,"console.error(e);"
"scripts/create-project-text-index.js",58,"console.error('✗ Error:', error.message);"
"scripts/verify-routes.ts",36,"console.error(`❌ ${res.status} ${url}`);"
"scripts/verify-routes.ts",42,"console.error(`❌ ERR ${url}`, e);"
"scripts/verify-routes.ts",46,"console.error(`Route failures: ${failures}`);"
"scripts/deploy-db-verify.ts",309,"console.error('💥 Verification failed:', error);"
"scripts/fixzit-unified-audit-system.js",695,"runFullAudit().catch(console.error);"
"scripts/kb-change-stream.ts",57,"console.error(err);"
"scripts/scanner.js",116,"console.error(`${colors.red}Scanner Error: ${error.message}${colors.reset}`);"
"scripts/fix-tsx-entities.js",45,"console.error(`❌ Error processing ${filePath}:`, error.message);"
"scripts/serve-frontend.js",31,"console.error('Proxy error:', err.message);"
"scripts/server-fixed.js",71,"console.error(err.stack);"
"scripts/generate-marketplace-bible.js",76,"console.error(`[${correlationId}] Forced write failure:`, error.message);"
"scripts/generate-marketplace-bible.js",93,"console.error(`[${correlationId}] Failed to generate marketplace bible:`, message);"
"scripts/_shared/marketplace.js",34,"console.error(`Failed to read JSON file ${filePath}:`, error.message);"
"scripts/_shared/marketplace.js",49,"console.error(`Failed to write JSON file ${filePath}:`, error.message);"
"scripts/_shared/marketplace.js",203,"console.error(prefix, message, ...args);"
"scripts/test-mongodb-atlas.js",13,"console.error('❌ FATAL: Invalid MONGODB_URI in .env.local');"
"scripts/test-mongodb-atlas.js",52,"console.error('\n❌ CONNECTION FAILED:', error.message);"
"scripts/fix-eslint-errors.js",126,"console.error(`❌ Error processing ${filePath}: ${error.message}`);"
"scripts/phase1-truth-verifier.js",310,"console.error(""❌ Critical error:"", err.message);"
"scripts/mongo-check.ts",18,"console.error(""MongoDB ping FAILED ❌"", e);"
"scripts/reality-check.js",179,"console.error(""Error running verification:"", error);"
"scripts/fix-workorder-index.js",90,"console.error('❌ Migration failed:', error);"
"scripts/fix-workorder-index.js",105,"console.error('💥 Migration script failed:', error);"
"scripts/complete-scope-verification.js",261,"testAllEndpoints().catch(console.error);"
"scripts/create-test-data.js",22,"console.error('❌ DEFAULT_PASSWORD environment variable is required');"
"scripts/create-test-data.js",23,"console.error('💡 Set it with: export DEFAULT_PASSWORD=""your-secure-password""');"
"scripts/create-test-data.js",138,"console.error('❌ Error creating test data:', error);"
"scripts/seed-db.js",21,"console.error('Seeding failed:', error);"
"scripts/ensure-indexes.ts",27,"console.error('\n❌ Error creating indexes:', error);"
"scripts/test-data.js",77,"console.error('Error creating test data:', error);"
"scripts/seed-users.ts",261,"console.error('❌ Error seeding users:', error);"
"scripts/verify-core.ts",50,"console.error('❌ Core verification failed:', error);"
"scripts/fix-html-entities.js",62,"console.error(`❌ Error processing ${filePath}:`, error.message);"
"scripts/verify-api.ts",37,"console.error(`❌ ${m} ${res.status} ${url}`);"
"scripts/verify-api.ts",43,"console.error(`❌ ${m} ERR ${url}`, e);"
"scripts/analyze-project.js",723,"console.error('❌ Analysis failed:', error.message);"
"scripts/analyze-project.js",724,"console.error('Stack trace:', error.stack);"
"scripts/unified-audit-system.js",291,"console.error('❌ Audit failed:', error.message);"
"scripts/unified-audit-system.js",801,"console.error('❌ Unified audit failed:', error.message);"
"scripts/seedMarketplace.ts",153,"console.error(error);"
"scripts/fix-null-property-codes.js",68,"console.error('❌ Error fixing property codes:', error);"
"scripts/create-file.ts",80,"console.error(result.message);"
"scripts/seed-subscriptions.ts",123,"console.error(err);"
"scripts/replace.js",54,"console.error('Error: Missing required arguments');"
"scripts/copilot-index.ts",77,"console.error('Usage: tsx scripts/copilot-index.ts ""docs/**/*.md""');"
"scripts/copilot-index.ts",85,"console.error(error);"
